moma_artist_id,artist_name,nationality,gender,born,dead
563,Manfred Bingler,Swiss,male,1928,
564,Peter Birkhauser,Swiss,male,1911,1976.0
565,Robert Birmelin,American,male,1933,
566,Werner Bischof,Swiss,male,1916,1954.0
567,Elmer Bischoff,American,male,1916,1991.0
568,Isabel Bishop,American,female,1902,1988.0
569,James Bishop,American,male,1927,2021.0
570,Michael Bishop,American,male,1946,2016.0
571,Maureen Bisilliat,American,female,1931,
572,Antonio Bisquert Pérez,Spanish,male,1906,1990.0
573,Julius Bissier,German,male,1893,1965.0
574,Roger Bissière,French,male,1888,1964.0
575,George Bissill,British,male,1896,1973.0
576,Auguste-Rosalie Bisson,French,male,1826,1900.0
577,Louis-Auguste Bisson,French,male,1814,1876.0
578,Arnold Bittleman,American,male,1933,1985.0
579,Dolores Dembus Bittleman,American,female,1931,
580,Ion Bitzan,Romanian,male,1924,1997.0
581,Judith Black,American,female,1945,
582,James Wallace Black,American,male,1825,1896.0
583,Roman Black,Nationality unknown,male,,
584,Wendell Black,American,male,1919,1972.0
585,Elizabeth Blackadder,British,female,1931,
586,Morris Blackburn,American,male,1902,1979.0
587,Tom Blackwell,American,male,1938,2020.0
588,Ronald Bladen,American,male,1918,1988.0
589,Nell Blaine,American,female,1922,1996.0
590,Jean-Charles Blais,French,male,1956,
591,Jeffrey Blake,American,male,1954,
592,Peter Blake,British,male,1932,
593,Camilo Blas (José Alfonso Sánchez Urteaga),Peruvian,male,1903,1985.0
594,Werner Blaser,Swiss,male,1924,
595,Edwin Howland Blashfield,American,male,1848,1936.0
597,Ross Bleckner,American,male,1949,
599,René Bleibtreu,French,male,1920,
601,Blessum,Nationality unknown,,,
602,André Bloc,French,male,1896,1966.0
603,Albert Bloch,American,male,1882,1961.0
604,Julius Thiengen Bloch,American,male,1888,1966.0
605,Pierrette Bloch,French,female,1928,
606,Clarence Lincoln Block,American,male,1913,1942.0
607,Gay Block,American,female,1942,
608,Barbara Bloom,American,female,1951,
609,Hyman Bloom,American,male,1913,2009.0
610,Vern Blosum,American,male,1936,2017.0
611,Sandra Blow,British,female,1925,2006.0
612,Oscar Bluemner,American,male,1867,1938.0
613,Norman Bluhm,American,male,1920,1999.0
614,Donald Blumberg,American,male,1935,
615,Anna Blume,German,female,1937,2020.0
616,Bernhard Blume,German,male,1937,2011.0
617,Peter Blume,American,male,1906,1992.0
618,Erwin Blumenfeld,German,male,1897,1969.0
623,Marcello Boccacci,Italian,male,1914,1996.0
624,Umberto Boccioni,Italian,male,1882,1916.0
625,Mel Bochner,American,male,1940,
626,Bengt Böckman,Swedish,male,1936,
627,Peter Bodner,Nationality unknown,male,,
630,Alighiero Boetti,Italian,male,1940,1994.0
631,Marinus Boezem,Dutch,male,1934,
632,Ricardo Bofill,Spanish,male,1939,
633,Arthur Emil Bofinger,Swiss,male,1909,
634,Jóhanna Boga,Icelandic,female,,
635,Varujan Boghosian,American,male,1926,
636,Theodor Bogler,German,male,1897,1968.0
637,Alexander Bogomazov,Ukrainian,male,1880,1930.0
638,Blythe Bohnen,American,female,1940,
639,Olaf von Bohr,Austrian,male,1927,
640,Karl Bohrmann,German,male,1928,1998.0
641,Bruce Boice,American,male,1941,
642,Charles Boily,French,male,,
643,Frédéric Boissonnas,Swiss,male,1858,1946.0
644,Richard Boix,Spanish,male,1894,1949.0
645,Jakob (Jack) Friedrich Bollschweiler,German,male,1888,1938.0
646,Roger Bolomey,American,male,1918,
647,Jay Bolotin,American,male,1949,
648,Ilya Bolotowsky,American,male,1907,1981.0
649,Christian Boltanski,French,male,1944,2021.0
651,David Bomberg,British,male,1890,1957.0
652,Camille Bombois,French,male,1883,1970.0
653,Giorgio Bompadre,Italian,male,,
654,Bona,Italian,female,1926,
655,Claus Bonderup,Danish,male,1943,
656,Emile Bondonneau,French,male,,
657,Muirhead Bone,British,male,1876,1953.0
658,Antonio Bonet,Spanish,male,1913,1989.0
659,Rodolfo Bonetto,Italian,male,1929,1991.0
660,Marcelo Bonevardi,Argentine,male,1929,1994.0
661,Felix Bonfils,French,male,1831,1885.0
662,Dusti Bongé,American,female,1903,1993.0
664,Paolo Boni,Italian,male,1926,
665,Pierre Bonnard,French,male,1867,1947.0
666,William Bonnell,American,male,,
668,Maria Bonomi,Brazilian,female,1935,
669,Robert Bononno,American,male,1949,
670,Lee Bontecou,American,female,1931,
671,Fabio Bonzi,Italian,male,1943,
673,Peter Booth,Australian,male,1940,
674,Osvaldo Borda,Argentine,male,1929,
675,Enrico Bordoni,Italian,male,1904,1969.0
676,Paul-Émile Borduas,Canadian,male,1905,1960.0
677,Wendela Boreel,British,female,1895,1985.0
678,Francisco Borès,Spanish,male,1898,1972.0
679,Norah Borges de Torre,Argentine,female,1901,1998.0
682,Jonathan Borofsky,American,male,1942,
684,Arnold von Borsig,German,male,,
685,Elena Borstein,American,female,1946,
686,Sándor (Alexander) Bortnyik,Hungarian,male,1893,1976.0
687,Fritz Boscovits,Swiss,male,1871,1965.0
688,Derek Boshier,British,male,1937,
689,Richard Bosman,Australian,male,1944,
690,Michael P. Bosniak,American,male,,
691,Rodolphe-Théophile Bosshard,Swiss,male,1889,1960.0
692,Check  Boterf,American,male,1934,
693,Fernando Botero,Colombian,male,1932,
694,Dorr Bothwell,American,female,1902,2000.0
696,Mario Botta,Swiss,male,1943,
697,Kenneth J. Botto,American,male,1937,2008.0
698,Édouard Boubat,French,male,1923,1999.0
699,René Robert Bouché,American,male,1905,1963.0
